Destination,Service,1box(2.5kg),2box(4.5kg),3box(6.5kg),6box(15kg)
Estonia,DDU Courier,18.66,22.84,27.38,45.41
Finland,DDU Courier,22.35,26.14,30.29,46.70
France,DDU Courier,19.51,21.38,23.59,31.78
Germany,DDU Courier,13.81,15.65,17.82,25.86
Greece,DDU Courier,31.71,39.74,48.38,82.99
Hungary,DDU Courier,19.93,24.32,29.07,48.01
Ireland,DDU Courier,9.94,9.94,12.60,14.73
Italy,DDU Courier,28.19,33.57,39.56,62.92
Latvia,DDU Courier,18.71,23.21,28.05,47.44
Lithuania,DDU Courier,14.29,18.08,22.23,38.64
Luxembourg,DDU Courier,11.57,13.96,16.71,27.14
Malta,DDU Courier,29.22,37.78,46.95,83.84
Netherlands,DDU Courier,10.57,10.57,11.17,11.64
Poland,DDU Courier,19.17,22.96,27.11,43.52
Portugal,DDU Courier,16.75,20.83,25.24,42.85
Romania,DDU Courier,19.84,24.17,28.84,47.49
Slovakia,DDU Courier,23.09,25.72,28.93,40.52
Slovenia,DDU Courier,18.35,23.20,28.39,49.28
Spain,DDU Courier,22.17,25.69,29.54,44.76
Spain - Balearic Islands,DDU Courier,27.10,30.62,34.49,49.68
Spain - Canary Islands,DDU Courier,41.80,46.92,49.17,98.63
Sweden,DDU Courier,19.57,23.86,28.48,46.98
What You Can & Can't Send by Courier | Evri,,—,—,—,—
"*Please note, these rates are not necessarily valid for 12 months. However, we will communicate to you before amending any prices based on carrier increases.",,—,—,—,—
*Please ensure that the Terms and Conditions and Surcharges are read and understood on the Evri website.,,—,—,—,—
"*Other surcharges imposed by Evri may apply, for example a Clean Air Surcharge. These will be passed on at cost and are subject to change.",,—,—,—,—
