Destination,Service,0.25,0.50,0.75,1.00,1.25,1.50,1.75,2.00,2.50,3.00,3.50,4.00,4.50,5.00,5.50,6.00,6.50,7.00,7.50,8.00,8.50,9.00,9.50,10.00,15.00,20.00,25.00,30.00
Bahrain,DDU Courier, £ 11.41 , £ 12.35 , £ 13.42 , £ 14.36 , £ 15.30 , £ 16.24 , £ 17.17 , £ 18.11 , £ 20.08 , £ 21.96 , £ 23.83 , £ 25.71 , £ 27.57 , £ 29.45 , £ 32.95 , £ 34.83 , £ 37.98 , £ 39.86 , £ 43.01 , £ 44.88 , £ 48.04 , £ 49.91 , £ 53.06 , £ 54.94 , £ 80.35 , £ 105.49 ,,
Bangladesh,DDU Courier, £ 21.12 , £ 22.08 , £ 23.21 , £ 24.17 , £ 25.12 , £ 26.08 , £ 27.04 , £ 27.99 , £ 30.04 , £ 31.95 , £ 33.87 , £ 35.78 , £ 37.69 , £ 39.62 , £ 41.93 , £ 43.85 , £ 45.76 , £ 47.68 , £ 49.59 , £ 51.52 , £ 53.43 , £ 55.34 , £ 57.27 , £ 59.18 , £ 78.66 , £ 97.83 ,,
Barbados,DDU Courier, £ 24.32 , £ 25.90 , £ 27.63 , £ 29.22 , £ 30.78 , £ 32.37 , £ 33.95 , £ 35.52 , £ 38.80 , £ 41.95 , £ 45.10 , £ 48.26 , £ 51.41 , £ 54.56 , £ 58.12 , £ 61.28 , £ 64.43 , £ 67.58 , £ 70.75 , £ 73.90 , £ 77.05 , £ 80.21 , £ 83.36 , £ 86.51 , £ 118.38 , £ 149.93 ,,
Belarus,DDU Courier, £ 10.64 , £ 16.00 , £ 21.63 , £ 26.99 , £ 32.35 , £ 37.69 , £ 40.34 , £ 42.28 , £ 46.34 , £ 50.20 , £ 54.06 , £ 57.92 , £ 61.79 , £ 65.66 , £ 70.16 , £ 74.03 , £ 77.90 , £ 81.75 , £ 85.62 , £ 89.48 , £ 93.35 , £ 97.21 , £ 101.08 , £ 104.95 , £ 144.11 , £ 182.76 ,,
Belize,DDU Courier, £ 30.71 , £ 33.16 , £ 35.87 , £ 38.32 , £ 40.77 , £ 43.23 , £ 45.68 , £ 48.13 , £ 53.22 , £ 58.13 , £ 63.03 , £ 67.94 , £ 72.84 , £ 77.75 , £ 83.27 , £ 88.18 , £ 93.08 , £ 97.99 , £ 102.90 , £ 107.80 , £ 112.71 , £ 117.61 , £ 122.52 , £ 127.42 , £ 176.96 , £ 226.02 ,,
Benin,DDU Courier, £ 31.28 , £ 32.71 , £ 34.32 , £ 35.75 , £ 37.20 , £ 38.64 , £ 40.08 , £ 41.52 , £ 44.53 , £ 47.40 , £ 50.28 , £ 53.16 , £ 56.04 , £ 58.92 , £ 62.22 , £ 65.10 , £ 67.98 , £ 70.87 , £ 73.75 , £ 76.63 , £ 79.49 , £ 82.38 , £ 85.26 , £ 88.14 , £ 117.26 , £ 146.06 ,,
Bermuda,DDU Courier, £ 24.86 , £ 27.10 , £ 29.59 , £ 31.83 , £ 34.07 , £ 36.31 , £ 38.55 , £ 40.78 , £ 45.46 , £ 49.94 , £ 54.41 , £ 58.89 , £ 63.37 , £ 67.85 , £ 72.96 , £ 77.43 , £ 81.93 , £ 86.41 , £ 90.89 , £ 95.36 , £ 99.84 , £ 104.32 , £ 108.80 , £ 113.28 , £ 158.59 , £ 203.39 ,,
Bhutan,DDU Courier, £ 30.66 , £ 30.71 , £ 31.02 , £ 31.08 , £ 31.13 , £ 31.19 , £ 31.23 , £ 31.29 , £ 31.57 , £ 31.69 , £ 31.80 , £ 31.90 , £ 32.01 , £ 32.11 , £ 32.84 , £ 32.95 , £ 33.05 , £ 33.16 , £ 33.26 , £ 33.37 , £ 33.48 , £ 33.59 , £ 33.69 , £ 33.80 , £ 35.35 , £ 36.41 ,,
Bolivia,DDU Courier, £ 29.14 , £ 32.38 , £ 35.87 , £ 39.10 , £ 42.34 , £ 45.58 , £ 48.82 , £ 52.06 , £ 58.71 , £ 65.18 , £ 71.66 , £ 78.12 , £ 84.60 , £ 91.06 , £ 98.16 , £ 104.63 , £ 111.11 , £ 117.58 , £ 124.06 , £ 130.52 , £ 137.00 , £ 143.46 , £ 149.94 , £ 156.41 , £ 221.63 , £ 286.34 ,,
"Bonaire, Sint Eustatius and Saba",DDU Courier, £ 31.68 , £ 33.75 , £ 36.13 , £ 38.20 , £ 40.26 , £ 42.34 , £ 44.41 , £ 46.49 , £ 50.86 , £ 55.01 , £ 59.16 , £ 63.31 , £ 67.46 , £ 71.61 , £ 76.49 , £ 80.64 , £ 84.78 , £ 88.93 , £ 93.08 , £ 97.23 , £ 101.38 , £ 105.53 , £ 109.68 , £ 113.83 , £ 155.90 , £ 197.40 ,,
